file flag system user
buddingYeastOrlando2008.smv 1 0.00 0.00
buddingYeastOrlando2008.smv 1 0.00 0.00
buddingYeastOrlando2008.smv 1 0.00 0.00
buddingYeastOrlando2008.smv 1 0.00 0.00
buddingYeastOrlando2008.smv 1 0.00 0.01
buddingYeastOrlando2008.smv 0 0.00 0.00
buddingYeastOrlando2008.smv 0 0.00 0.00
buddingYeastOrlando2008.smv 0 0.00 0.00
buddingYeastOrlando2008.smv 0 0.00 0.01
buddingYeastOrlando2008.smv 0 0.00 0.00
buddingYeastOrlando2008.smv 0 0.00 0.01
buddingYeastOrlando2008.smv 0 0.00 0.01
buddingYeastOrlando2008.smv 0 0.00 0.00
buddingYeastOrlando2008.smv 0 0.00 0.00
buddingYeastOrlando2008.smv 0 0.00 0.01
buddingYeastOrlando2008.smv 0 0.00 0.01
buddingYeastOrlando2008.smv 0 0.00 0.01
buddingYeastOrlando2008.smv 0 0.00 0.01
buddingYeastOrlando2008.smv 0 0.00 0.01
buddingYeastOrlando2008.smv 0 0.00 0.00
buddingYeastOrlando2008.smv 0 0.00 0.01
buddingYeastOrlando2008.smv 0 0.00 0.00
buddingYeastOrlando2008.smv 0 0.00 0.00
buddingYeastOrlando2008.smv 0 0.00 0.00
buddingYeastOrlando2008.smv 0 0.00 0.00
drosophilaCellCycleVariants.smv 1 0.00 0.02
drosophilaCellCycleVariants.smv 1 0.00 0.02
drosophilaCellCycleVariants.smv 1 0.00 0.02
drosophilaCellCycleVariants.smv 1 0.01 0.01
drosophilaCellCycleVariants.smv 1 0.00 0.02
drosophilaCellCycleVariants.smv 1 0.00 0.02
drosophilaCellCycleVariants.smv 1 0.00 0.02
drosophilaCellCycleVariants.smv 1 0.00 0.02
drosophilaCellCycleVariants.smv 1 0.00 0.02
drosophilaCellCycleVariants.smv 1 0.00 0.02
drosophilaCellCycleVariants.smv 1 0.00 0.01
drosophilaCellCycleVariants.smv 1 0.00 0.02
drosophilaCellCycleVariants.smv 1 0.00 0.02
drosophilaCellCycleVariants.smv 1 0.00 0.02
drosophilaCellCycleVariants.smv 1 0.00 0.02
drosophilaCellCycleVariants.smv 1 0.00 0.01
drosophilaCellCycleVariants.smv 1 0.00 0.01
drosophilaCellCycleVariants.smv 1 0.00 0.01
drosophilaCellCycleVariants.smv 1 0.00 0.02
drosophilaCellCycleVariants.smv 1 0.00 0.02
drosophilaCellCycleVariants.smv 0 0.00 0.02
drosophilaCellCycleVariants.smv 0 0.00 0.02
drosophilaCellCycleVariants.smv 0 0.00 0.02
drosophilaCellCycleVariants.smv 0 0.00 0.02
drosophilaCellCycleVariants.smv 0 0.00 0.02
drosophilaCellCycleVariants.smv 0 0.00 0.02
drosophilaCellCycleVariants.smv 0 0.00 0.02
drosophilaCellCycleVariants.smv 0 0.00 0.02
drosophilaCellCycleVariants.smv 0 0.00 0.01
drosophilaCellCycleVariants.smv 0 0.00 0.02
drosophilaCellCycleVariants.smv 0 0.00 0.01
drosophilaCellCycleVariants.smv 0 0.00 0.02
drosophilaCellCycleVariants.smv 0 0.00 0.02
drosophilaCellCycleVariants.smv 0 0.00 0.02
drosophilaCellCycleVariants.smv 0 0.00 0.01
drosophilaCellCycleVariants.smv 0 0.00 0.02
drosophilaCellCycleVariants.smv 0 0.00 0.02
drosophilaCellCycleVariants.smv 0 0.00 0.02
drosophilaCellCycleVariants.smv 0 0.00 0.02
drosophilaCellCycleVariants.smv 0 0.00 0.02
fissionYeastDavidich2008.smv 1 0.00 0.03
fissionYeastDavidich2008.smv 1 0.00 0.03
fissionYeastDavidich2008.smv 1 0.00 0.03
fissionYeastDavidich2008.smv 1 0.00 0.03
fissionYeastDavidich2008.smv 1 0.00 0.03
fissionYeastDavidich2008.smv 1 0.00 0.02
fissionYeastDavidich2008.smv 1 0.00 0.04
fissionYeastDavidich2008.smv 1 0.00 0.04
fissionYeastDavidich2008.smv 1 0.00 0.04
fissionYeastDavidich2008.smv 1 0.00 0.03
fissionYeastDavidich2008.smv 1 0.00 0.04
fissionYeastDavidich2008.smv 1 0.00 0.02
fissionYeastDavidich2008.smv 1 0.00 0.03
fissionYeastDavidich2008.smv 1 0.00 0.03
fissionYeastDavidich2008.smv 1 0.00 0.02
fissionYeastDavidich2008.smv 1 0.00 0.03
fissionYeastDavidich2008.smv 1 0.00 0.03
fissionYeastDavidich2008.smv 1 0.00 0.02
fissionYeastDavidich2008.smv 1 0.00 0.02
fissionYeastDavidich2008.smv 1 0.00 0.02
fissionYeastDavidich2008.smv 0 0.00 0.03
fissionYeastDavidich2008.smv 0 0.00 0.03
fissionYeastDavidich2008.smv 0 0.00 0.02
fissionYeastDavidich2008.smv 0 0.01 0.02
fissionYeastDavidich2008.smv 0 0.00 0.02
fissionYeastDavidich2008.smv 0 0.00 0.03
fissionYeastDavidich2008.smv 0 0.00 0.03
fissionYeastDavidich2008.smv 0 0.00 0.03
fissionYeastDavidich2008.smv 0 0.00 0.03
fissionYeastDavidich2008.smv 0 0.00 0.03
fissionYeastDavidich2008.smv 0 0.00 0.02
fissionYeastDavidich2008.smv 0 0.00 0.02
fissionYeastDavidich2008.smv 0 0.00 0.02
fissionYeastDavidich2008.smv 0 0.00 0.02
fissionYeastDavidich2008.smv 0 0.00 0.02
fissionYeastDavidich2008.smv 0 0.00 0.02
fissionYeastDavidich2008.smv 0 0.00 0.02
fissionYeastDavidich2008.smv 0 0.00 0.02
fissionYeastDavidich2008.smv 0 0.00 0.03
fissionYeastDavidich2008.smv 0 0.00 0.02
